,2010-09-18T07:00:07Z,4,7,4994,
,2010-09-18T07:00:08Z,10,9,29861,
,2010-09-26T07:00:19Z,42,56,7415,
,2010-10-16T07:00:22Z,12,4,373965,
,2010-10-19T07:00:23Z,10,10,2125,
,2010-10-26T07:00:17Z,3,1,8797,
,2010-11-11T08:00:17Z,6,9,6418,
,2010-11-11T08:00:18Z,2,2,4219,
,2010-11-15T08:00:08Z,19,12,41151,
,2010-11-17T08:00:07Z,24,7,15511,
,2010-12-11T08:00:07Z,71,101,83158,
,2010-12-14T08:00:08Z,11,7,11588,
,2011-01-28T08:00:11Z,3,3,402,
,2011-01-28T08:00:11Z,22,32,21428,
,2011-01-28T08:00:12Z,2,2,100,
,2011-01-28T08:00:12Z,49,83,11119,
,2011-01-28T08:00:12Z,2,2,80,
,2011-01-28T08:00:12Z,5,4,14491,
,2011-01-28T08:00:12Z,4,4,165,
,2011-01-28T08:00:13Z,1,2,77,
,2011-02-02T08:00:07Z,13,11,2523,
,2011-02-12T08:00:07Z,18,29,27973,
,2011-02-14T08:00:29Z,6,2,1914,
,2011-03-06T08:00:07Z,12,42,366718,
,2011-03-26T07:00:07Z,22,32,1038,
,2011-04-06T07:00:07Z,100,146,9322,
,2011-04-14T07:00:07Z,39,48,3756,
,2011-04-20T07:00:09Z,21,24,29277,
,2011-04-21T07:00:07Z,40,28,10122,
,2011-05-15T07:00:10Z,2,1,250,
,2011-05-22T07:00:07Z,35,24,3691,
,2011-06-19T07:00:34Z,60,93,79253,
,2011-06-30T07:00:12Z,8,10,871,
,2011-07-01T07:00:48Z,5,3,1231,
,2011-07-14T07:03:04Z,12,16,12595,
,2011-07-22T07:00:13Z,6,3,17457,
,2011-07-23T07:00:31Z,19,10,36003,
,2011-07-30T07:00:08Z,8,13,25472,
,2011-08-04T07:00:07Z,260,293,17197,
,2011-08-04T16:09:56Z,228,205,42814,
,2011-08-11T07:01:22Z,5,1,1318,
,2011-08-12T07:00:09Z,6,3,1072,
,2011-08-12T18:20:14Z,803,948,42318,
,2011-08-13T07:01:15Z,2,1,16414,
,2011-08-14T07:00:07Z,4,1,52384,
,2011-08-15T07:00:09Z,3,2,3516,
,2011-08-15T18:06:16Z,3156,5104,47041,
,2011-08-15T18:14:20Z,3,2,178,
,2011-08-18T07:00:12Z,11,15,38380,
,2011-08-28T07:00:33Z,219,397,26448,
,2011-09-01T07:00:15Z,79,62,3960,
,2011-09-14T07:00:10Z,279,285,26318,
,2011-09-23T07:00:08Z,618,574,272636,
,2011-10-01T07:00:19Z,1114,1424,55523,
,2011-10-06T07:00:09Z,157,289,54798,
,2011-10-15T07:00:07Z,51,66,1610,
,2011-10-15T07:00:08Z,39,54,1385,
,2011-10-15T07:00:08Z,76,65,15133,
,2011-10-15T07:00:08Z,20,28,2192,
,2011-10-15T07:00:08Z,23,46,4553,
,2011-10-25T07:00:11Z,39,65,12529,
,2011-10-25T07:00:12Z,3,2,663,
,2011-11-06T07:00:10Z,4,5,6799,
,2011-11-06T07:00:10Z,4,3,261,
,2011-11-09T08:00:09Z,133,278,12468,
,2011-11-19T08:00:16Z,23,79,15619,
